,Course Name,University,Location,Cost,Cost per,Duration,Extra
1292,Computer Science, Transport and Telecommunication Institute ," Riga, Latvia ",3500 EUR,year,2 years,M.Sc. Full-time Part-time
1293,Information Technology (IMPIT), University of Eastern Finland ," Joensuu, Finland ",8000 EUR,year,2 years,Full-time
1294,Electrical and Computer Engineering, University of New Hampshire ," Durham, New Hampshire, United States ",22966 EUR,year,1 year,M.Sc. Full-time
1295,Game Studies and Engineering, University of Klagenfurt ," Klagenfurt am Wörthersee, Austria ",1452 EUR,year,2 years,M.Sc. Full-time
1296,Criminal Justice and Criminology, Georgia Southern University ," Statesboro, Georgia, United States ",10951 EUR,year,1 year,M.Sc. Full-time Part-time Online
1297,Master of Business Administration and Information Technologies, University of North Texas ," Denton, Texas, United States ",24911 EUR,year,2 years,M.B.A. Full-time
1298,Information Technology Leadership, Walsh College ," Troy, Michigan, United States ",8713 EUR,year,1 year,M.Sc. Full-time
1299,Imaging Technologies for eXtended Reality, Jean Monnet University ," Saint-Étienne, France ",750 EUR,year,2 years,M.Sc. Full-time
1300,Data Science, University of the Pacific ," Stockton, California, United States ",9467 EUR,full,½ year,Pre-Master Full-time
1301,Electrical and Computer Engineering (with concentration in Nanocience), Duke University ," Durham, North Carolina, United States ",47816 EUR,year,2 years,M.Eng. Full-time
1302,Information Technology, Southern Cross University , Multiple locations ,3014 EUR,module,2 years,Full-time Part-time
1303,Online Computer Science, University of Wolverhampton , Online ,3845 EUR,year,2 years,M.Sc. Part-time
1304,Electrical and Computer Engineering, Western University - Canada ," London, Canada ",8431 EUR,year,2 years,Full-time
1305,"Applied Mathematics & Statistics, and Scientific Computation", University of Maryland ," College Park, Maryland, United States ",32208 EUR,year,1 year,M.Sc. Full-time
1306,Information Systems Management, University of Sheffield ," Sheffield, England, United Kingdom ",29068 EUR,year,1 year,M.Sc. Full-time
1307,Software Technology, Stuttgart University of Applied Sciences ," Stuttgart, Germany ",3000 EUR,year,1½ years,M.Sc. Full-time Part-time
1308,Computer Science, University of North Carolina Greensboro ," Greensboro, North Carolina, United States ",1416 EUR,credit,2 years,M.Sc. Full-time
1309,Healthcare Quality, Queen's University , Online ,16512 EUR,year,2 years,M.Sc. Part-time
1310,Computer Science, Lamar University ," Beaumont, Texas, United States ",8779 EUR,year,1 year,Full-time
1311,Big Data in Culture and Society, King's College London ," London, England, United Kingdom ",32505 EUR,year,1 year,M.A. Full-time Part-time
1312,Computer Science, University of Minnesota ," Minneapolis, Minnesota, United States ",23407 EUR,year,1 year,Full-time Part-time Online
1313,Computer Science and Information Systems, Saginaw Valley State University ," Michigan City, Indiana, United States ",18530 EUR,year,1 year,M.Sc. Full-time
1314,Food and Nutrition Specialization in Nutrition Science and Informatics, Framingham State University ," Framingham, Massachusetts, United States ",1094 EUR,credit,1 year,M.Sc. Full-time
1315,Management and Information Systems-Change and Development (Distance Learning), The University of Manchester , Online ,1505 EUR,credit,2 years,M.Sc. Part-time
1316,Composing for Video Games, ThinkSpace Education , Online ,11359 EUR,year,1 year,M.A. Full-time Part-time
1317,Information Systems, University of Maryland ," College Park, Maryland, United States ",1342 EUR,credit,1 year,M.Sc. Full-time
1318,Computational and Data Journalism, Cardiff University ," Cardiff, Wales, United Kingdom ",,,1 year,M.Sc. Full-time
1319,"Energy Economics, Policy and Security", Bilkent University ," Ankara, Turkey ",11975 EUR,year,2 years,M.A. Full-time
1320,Healthcare Informatics, Sacred Heart University ," Fairfield, Connecticut, United States ",681 EUR,credit,2 years,M.Sc. Full-time
1321,Information Technology, Valparaiso University ," Valparaiso, Indiana, United States ",10032 EUR,year,2 years,Full-time
1322,Applied Data Science, University of Göttingen ," Göttingen, Germany ",385 EUR,year,2 years,M.Sc. Full-time
1323,Human Geography, University of Kent ," Canterbury, England, United Kingdom ",19573 EUR,year,1 year,Full-time Part-time
1324,Data Science, Durham University ," Durham, England, United Kingdom ",29010 EUR,year,1 year,Full-time
1325,Computer Science and Technology, Southeast University ," Nanjing, China ",4257 EUR,year,3 years,Full-time
1326,Computer Science, National University of Singapore ," Singapore, Singapore ",35778 EUR,year,1½ years,Full-time Part-time
1327,Geospatial Information Science and Engineering, SUNY - College of Environmental Science and Forestry ," New York City, New York, United States ",19077 EUR,year,1 year,M.Sc. Full-time
1328,Computational and Data - Enabled Science and Engineering, Rutgers University ," Camden, New Jersey, United States ",34434 EUR,year,1 year,Postgraduate Certificate Full-time
1329,Intelligent Information Processing, The University of Tokyo ," Tokyo, Japan ",3390 EUR,year,2 years,Full-time
1330,Healthcare Informatics, Sacred Heart University ," Fairfield, Connecticut, United States ",681 EUR,credit,2 years,M.Sc. Full-time
1331,Information Technology, Valparaiso University ," Valparaiso, Indiana, United States ",10032 EUR,year,2 years,Full-time
1332,Applied Data Science, University of Göttingen ," Göttingen, Germany ",385 EUR,year,2 years,M.Sc. Full-time
1333,Human Geography, University of Kent ," Canterbury, England, United Kingdom ",19573 EUR,year,1 year,Full-time Part-time
1334,Data Science, Durham University ," Durham, England, United Kingdom ",29010 EUR,year,1 year,Full-time
1335,Computer Science and Technology, Southeast University ," Nanjing, China ",4257 EUR,year,3 years,Full-time
1336,Computer Science, National University of Singapore ," Singapore, Singapore ",35778 EUR,year,1½ years,Full-time Part-time
1337,Geospatial Information Science and Engineering, SUNY - College of Environmental Science and Forestry ," New York City, New York, United States ",19077 EUR,year,1 year,M.Sc. Full-time
1338,Computational and Data - Enabled Science and Engineering, Rutgers University ," Camden, New Jersey, United States ",34434 EUR,year,1 year,Postgraduate Certificate Full-time
1339,Intelligent Information Processing, The University of Tokyo ," Tokyo, Japan ",3390 EUR,year,2 years,Full-time
1340,Interactive Media Arts, New York University , Multiple locations ,30252 EUR,year,1 year,M.A. Full-time Blended Learning
1341,Artificial Intelligence, University of Moratuwa ," Moratuwa, Sri Lanka ",,,1 year,M.Sc. Full-time Part-time
1342,Econometrics and Operations Research - Marketing Data Science, Vrije Universiteit Amsterdam ," Amsterdam, Netherlands ",15546 EUR,year,1 year,M.Sc. Full-time
1343,Cybersecurity and Digital Forensics, Stevenson University , Online ,574 EUR,credit,1 year,M.Sc. Part-time
1344,Computer Sciences - Software Engineering, South East European University ," Tetovo, Macedonia (FYROM) ",1300 EUR,year,2 years,Full-time
1345,Big Data Analytics, Letterkenny Institute of Technology ," Letterkenny, Ireland ",10000 EUR,year,1 year,M.Sc. Full-time Part-time
1346,Computer Science, University of Utah ," Salt Lake City, Utah, United States ",15575 EUR,year,1 year,M.Sc. Full-time
1347,Computer Security Engineering and Artificial Intelligence, Rovira i Virgili University ," Tarragona, Spain ",2913 EUR,year,1 year,Full-time Online
1348,Visual Computing, Saarland University ," Saarbrücken, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1349,Software Engineering, Northwestern Polytechnical University ," Xi’an, China ",3810 EUR,year,2½ years,Full-time
1350,Data Science and Analytics, Brunel University London ," London, England, United Kingdom ",23132 EUR,year,1 year,M.Sc. Full-time Part-time
1351,Computer Science, Binghamton University ," Binghamton, New York, United States ",19077 EUR,year,1 year,M.Sc. Full-time
1352,Software Engineering, Concordia University Montréal ," Montréal, Canada ",13729 EUR,year,2 years,Full-time
1353,Robotics, Washington University in St. Louis ," Saint Louis, Missouri, United States ",47692 EUR,year,1½ years,M.Eng. Full-time Part-time
1354,Health Informatics, Mahidol University ," Bangkok, Thailand ",235 EUR,credit,1 year,M.Sc. Full-time
1355,Information Systems, University of Zurich ," Zürich, Switzerland ",1312 EUR,year,2 years,M.Sc. Full-time
1356,Computer Science - Software Engineering, University of Antwerp ," Antwerpen, Belgium ",5800 EUR,year,2 years,M.Sc. Full-time
1357,Computer Science, Villanova University ," Philadelphia, Mississippi, United States ",657 EUR,credit,2 years,M.Sc. Full-time
1358,Electrical and Computer Engineering, University of Missouri - Columbia ," Columbia, Missouri, United States ",20079 EUR,year,1 year,M.Sc. Full-time
1359,Electrical and Computer Engineering, University of Manitoba ," Winnipeg, Canada ",7982 EUR,year,2 years,Full-time
1360,Human-Computer Interaction, DePaul University ," Chicago, Illinois, United States ",714 EUR,credit,2 years,M.Sc. Full-time
1361,Data Analytics, University of Houston Downtown ," Houston, Texas, United States ",7517 EUR,year,1 year,M.Sc. Full-time
1362,Advanced Computing, An-Najah National University ," Nablus, Palestinian Territory, Occupied ",,,2 years,M.Sc. Full-time
1363,Statistics with Data Analytics, Brunel University London ," London, England, United Kingdom ",23132 EUR,year,1 year,M.Sc. Full-time Part-time
1364,Design and Technology, The New School ," New York City, New York, United States ",43806 EUR,year,2 years,Full-time
1365,Statistics and Data Science, Temple University ," Philadelphia, Pennsylvania, United States ",920 EUR,credit,1 year,M.Sc. Full-time Part-time
1366,Data Science, ETH Zurich - Swiss Federal Institute of Technology ," Zürich, Switzerland ",1324 EUR,year,2 years,Full-time
1367,Embedded Wireless Systems, University of York ," York, England, United Kingdom ",26470 EUR,year,1 year,M.Sc. Full-time
1368,Analytics, Wittenberg University ," Springfield, Tennessee, United States ",33554 EUR,year,1 year,M.Sc. Full-time Blended Learning
1369,Computer Information Systems, California University of Management and Sciences ," Anaheim, California, United States ",268 EUR,credit,2 years,Full-time
1370,Data Centre Leadership and Management, Anglia Ruskin University , Online ,6990 EUR,year,3 years,Part-time
1371,Information Technology, Walden International , Online ,21802 EUR,full, ,M.Sc. Part-time
1372,Animation and Gaming, Hertfordshire International College ," Hertford, England, United Kingdom ",14854 EUR,year,1 year,Pre-Master Full-time
1373,Financial Innovation and Technology, Queen's University ," Kingston, Canada ",16014 EUR,module,"1 year, 2 months",Full-time
1374,Computing Mathematics, Nanjing University of Science and Technology ," Nanjing, China ",4546 EUR,year,2½ years,Full-time
1375,Data Science, National University of Science and Technology (MISIS) ," Moscow, Russia ",2952 EUR,year,2 years,Full-time
1376,Crisis and Security Management, Leiden University ," Den Haag, Netherlands ",17716 EUR,year,1 year,M.Sc. Full-time
1377,Homeland Security, American Public University , Online ,306 EUR,credit,2 months,Postgraduate Certificate Part-time
1378,Computer Science, Colorado State University , Online ,590 EUR,credit,2 years,M.Sc. Part-time
1379,Computer Science, University of Tartu ," Tartu, Estonia ",6000 EUR,year,2 years,M.Sc. Full-time
1380,Electrical and Computer Engineering, University of Victoria ," Victoria, Canada ",3448 EUR,year,2 years,Full-time
1381,Game Design and Development, Rochester Institute of Technology ," Rochester, New York, United States ",43019 EUR,year,2 years,M.Sc. Full-time
1382,Software Engineering, Limkokwing University of Creative Technology ," Cyberjaya, Malaysia ",,,1½ years,M.Sc. Full-time
1383,Games Development (Design), Kingston University ," London, England, United Kingdom ",18175 EUR,year,1 year,M.A. Full-time Part-time
1384,Physics, Umea University ," Umeå, Sweden ",6944 EUR,year,2 years,M.Sc. Full-time
1385,Informatics," University of California, Irvine (UCI) "," Irvine, California, United States ",27111 EUR,year,2 years,M.Sc. Full-time
1386,Computer Science - Scientists and Engineers, University of Southern California ," Los Angeles, California, United States ",1816 EUR,credit,2 years,M.Sc. Full-time Online
1387,Computer Science, Louisiana State University ," Baton Rouge, Louisiana, United States ",24326 EUR,year,"1 year, 9 months",M.Sc. Full-time
1388,Multimedia - Interaction Design, California State University East Bay ," Hayward, California, United States ",12838 EUR,year,1 year,M.A. Full-time
1389,Health Informatics, University of Scranton , Online ,797 EUR,credit,1 year,M.Sc. Part-time
1390,Business Analytics, Montclair State University ," Montclair, New Jersey, United States ",579 EUR,credit,2 years,M.Sc. Full-time
1391,Advanced Computer Science, Birmingham City University ," Birmingham, England, United Kingdom ",15379 EUR,year,1 year,M.Sc. Full-time Part-time
